Date,Predicted,Actual
06/11/1973 00:00:00,29.8365665242748,10.6
07/11/1973 00:00:00,29.836568955743,9.6
08/11/1973 00:00:00,29.836571125715,9.1
09/11/1973 00:00:00,29.8365730623137,8.7
10/11/1973 00:00:00,29.8365747906378,8.2
11/11/1973 00:00:00,29.8365763330864,7.8
12/11/1973 00:00:00,29.8365777096499,7.9
13/11/1973 00:00:00,29.8365789381686,9.1
14/11/1973 00:00:00,29.8365800345642,9.2
15/11/1973 00:00:00,29.8365810130462,9.8
16/11/1973 00:00:00,29.8365818862957,13.4
17/11/1973 00:00:00,29.8365826656302,19.2
18/11/1973 00:00:00,29.8365833611499,21.6
19/11/1973 00:00:00,29.8365839818687,20.4
20/11/1973 00:00:00,29.8365845358313,17.9
21/11/1973 00:00:00,29.8365850302172,16.2
22/11/1973 00:00:00,29.8365854714334,15.1
23/11/1973 00:00:00,29.8365858651984,14.1
24/11/1973 00:00:00,29.8365862166153,13.7
25/11/1973 00:00:00,29.8365865302384,13.3
26/11/1973 00:00:00,29.8365868101324,12.6
27/11/1973 00:00:00,29.8365870599248,12.7
28/11/1973 00:00:00,29.8365872828529,12.8
29/11/1973 00:00:00,29.8365874818058,14.9
30/11/1973 00:00:00,29.8365876593619,20.6
01/12/1973 00:00:00,29.8365878178225,31.4
02/12/1973 00:00:00,29.8365879592412,34.8
03/12/1973 00:00:00,29.8365880854508,32
04/12/1973 00:00:00,29.836588198087,27.4
05/12/1973 00:00:00,29.8365882986095,24.5
06/12/1973 00:00:00,29.8365883883212,22.4
07/12/1973 00:00:00,29.8365884683847,21.4
08/12/1973 00:00:00,29.8365885398376,20.9
09/12/1973 00:00:00,29.836588603606,20.1
10/12/1973 00:00:00,29.8365886605163,20.4
11/12/1973 00:00:00,29.8365887113061,21.8
12/12/1973 00:00:00,29.8365887566336,21.4
13/12/1973 00:00:00,29.8365887970864,23.7
14/12/1973 00:00:00,29.8365888331885,47
15/12/1973 00:00:00,29.836588865408,56.6
16/12/1973 00:00:00,29.8365888941624,51.3
17/12/1973 00:00:00,29.8365889198244,41.3
18/12/1973 00:00:00,29.8365889427265,33.1
19/12/1973 00:00:00,29.8365889631655,29.4
20/12/1973 00:00:00,29.8365889814064,31.7
21/12/1973 00:00:00,29.8365889976856,34.8
22/12/1973 00:00:00,29.836589012214,33.7
23/12/1973 00:00:00,29.8365890251799,29.2
24/12/1973 00:00:00,29.8365890367513,24.9
25/12/1973 00:00:00,29.8365890470783,22.9
26/12/1973 00:00:00,29.8365890562947,21.5
27/12/1973 00:00:00,29.8365890645199,19.8
28/12/1973 00:00:00,29.8365890718605,17.9
29/12/1973 00:00:00,29.8365890784116,15.4
30/12/1973 00:00:00,29.8365890842582,14.2
31/12/1973 00:00:00,29.836589089476,13.3
01/01/1974 00:00:00,29.8365890941326,12.2
02/01/1974 00:00:00,29.8365890982884,11.3
